cui	disease_name
C0000772	Multiple congenital anomalies
C0000889	Acanthosis Nigricans
C0001080	Achondroplasia
C0001118	Acid-Base Imbalance
C0001125	Acidosis, Lactic
C0001126	Renal tubular acidosis
C0001193	Apert syndrome
C0001339	Pancreatitis, Acute
C0001418	Adenocarcinoma
C0001618	Tumors of Adrenal Cortex
C0001627	Congenital adrenal hyperplasia
C0001807	Aggressive behavior
C0001815	Primary Myelofibrosis
C0001973	Alcoholic Intoxication, Chronic
C0002170	Alopecia
C0002395	Alzheimer's Disease
C0002448	Ameloblastoma
C0002452	Amelogenesis Imperfecta
C0002726	Amyloidosis
C0002736	Amyotrophic Lateral Sclerosis
C0002871	Anemia
C0002874	Aplastic Anemia
C0002876	Congenital dyserythropoietic anemia
C0002878	Anemia, Hemolytic
C0002880	Autoimmune hemolytic anemia
C0002881	Anemia, Hemolytic, Congenital
C0002940	Aneurysm
C0002949	Aneurysm, Dissecting
C0002985	Angiokeratoma
C0003076	Aniridia
C0003079	Anisocoria
C0003090	Ankylosis
C0003126	Anosmia
C0003466	Anus, Imperforate
C0003467	Anxiety
C0003486	Aortic Aneurysm
C0003492	Aortic coarctation
C0003578	Apnea
C0003614	Appendiceal Neoplasms
C0003803	Arnold Chiari Malformation
C0003810	Sertoli-Leydig cell tumor of ovary
C0003811	Cardiac Arrhythmia
C0003873	Rheumatoid Arthritis
C0003886	Arthrogryposis
C0004114	Astrocytoma
C0004135	Ataxia Telangiectasia
C0004138	Ataxias, Hereditary
C0004238	Atrial Fibrillation
C0004245	Atrioventricular Block
C0004352	Autistic Disorder
C0004763	Barrett Esophagus
C0004930	Behavior Disorders
C0005684	Malignant neoplasm of urinary bladder
C0005699	Blast Phase
C0005744	Blepharophimosis
C0005859	Bloom Syndrome
C0006079	Bowen's Disease
C0006118	Brain Neoplasms
C0006142	Malignant neoplasm of breast
C0006267	Bronchiectasis
C0006413	Burkitt Lymphoma
C0006826	Malignant Neoplasms
C0006845	Candidiasis, Chronic Mucocutaneous
C0007095	Carcinoid Tumor
C0007097	Carcinoma
C0007102	Malignant tumor of colon
C0007104	Female Breast Carcinoma
C0007112	Adenocarcinoma of prostate
C0007113	Rectal Carcinoma
C0007120	Bronchioloalveolar Adenocarcinoma
C0007124	Noninfiltrating Intraductal Carcinoma
C0007129	Merkel cell carcinoma
C0007130	Mucinous Adenocarcinoma
C0007131	Non-Small Cell Lung Carcinoma
C0007134	Renal Cell Carcinoma
C0007137	Squamous cell carcinoma
C0007140	Carcinosarcoma
C0007193	Cardiomyopathy, Dilated
C0007194	Hypertrophic Cardiomyopathy
C0007196	Restrictive cardiomyopathy
C0007570	Celiac Disease
C0007758	Cerebellar Ataxia
C0007789	Cerebral Palsy
C0007959	Charcot-Marie-Tooth Disease
C0007965	Chediak-Higashi Syndrome
C0007971	Cheilitis
C0008031	Chest Pain
C0008309	Bile duct adenoma
C0008441	Chondroblastoma
C0008479	Chondrosarcoma
C0008487	Chordoma
C0008489	Chorea
C0008519	Ectopic Tissue
C0008533	Hemophilia B
C0008780	Ciliary Motility Disorders
C0008928	Cleidocranial Dysplasia
C0009081	Congenital clubfoot
C0009324	Ulcerative Colitis
C0009363	Congenital ocular coloboma (disorder)
C0009375	Colonic Neoplasms
C0009376	Colonic Polyps
C0009402	Colorectal Carcinoma
C0009404	Colorectal Neoplasms
C0009405	Hereditary Nonpolyposis Colorectal Neoplasms
C0009691	Congenital cataract
C0009759	Conjunctival Diseases
C0009782	Connective Tissue Diseases
C0010068	Coronary heart disease
C0010276	Craniopharyngioma
C0010278	Craniosynostosis
C0010346	Crohn Disease
C0010417	Cryptorchidism
C0010495	Cutis Laxa
C0010606	Adenoid Cystic Carcinoma
C0010674	Cystic Fibrosis
C0010691	Cystinuria
C0010828	Cytopenia
C0010964	Dandy-Walker Syndrome
C0011053	Deafness
C0011071	Sudden death
C0011436	Dentinogenesis Imperfecta
C0011615	Dermatitis, Atopic
C0011813	Dextrocardia
C0011849	Diabetes Mellitus
C0011854	Diabetes Mellitus, Insulin-Dependent
C0011860	Diabetes Mellitus, Non-Insulin-Dependent
C0012634	Disease
C0013069	Double Outlet Right Ventricle
C0013080	Down Syndrome
C0013264	Muscular Dystrophy, Duchenne
C0013274	Patent ductus arteriosus
C0013364	Dysautonomia, Familial
C0013377	Dysgerminoma
C0013384	Dyskinetic syndrome
C0013404	Dyspnea
C0013421	Dystonia
C0013481	Ebstein Anomaly
C0013592	Ectropion
C0013604	Edema
C0013720	Ehlers-Danlos Syndrome
C0014065	Congenital cerebral hernia
C0014067	Occipital Encephalocele
C0014130	Endocrine System Diseases
C0014145	Yolk Sac Tumor
C0014170	Endometrial Neoplasms
C0014173	Endometrial Hyperplasia
C0014180	Endometrium
C0014474	Ependymoma
C0014544	Epilepsy
C0014547	Epilepsies, Partial
C0014553	Absence Epilepsy
C0014850	Esophageal Atresia
C0014868	Esophagitis
C0015499	Hereditary Factor V Deficiency
C0015625	Fanconi Anemia
C0015672	Fatigue
C0016037	Fibrodysplasia Ossificans Progressiva
C0016045	fibroma
C0016049	Fibromatosis, Gingival
C0016202	Flatfoot
C0016436	Folliculitis
C0016655	Fractures, Multiple
C0016663	Pathological fracture
C0016667	Fragile X Syndrome
C0016689	Freckles
C0016751	Hereditary fructose intolerance syndrome
C0016756	Fructose-1,6-Diphosphatase Deficiency
C0016842	Congenital pectus excavatum
C0017075	Ganglioneuroma
C0017097	Gardner Syndrome
C0017152	Gastritis
C0017495	Gerstmann-Straussler-Scheinker Disease
C0017636	Glioblastoma
C0017638	Glioma
C0017653	Glomus Tumor
C0017658	Glomerulonephritis
C0017662	Glomerulonephritis, Membranoproliferative
C0017668	Focal glomerulosclerosis
C0017919	Glycogen Storage Disease
C0017922	Glycogen Storage Disease Type III
C0017924	Glycogen Storage Disease Type V
C0017925	Glycogen Storage Disease Type VI
C0017926	Glycogen Storage Disease Type VII
C0018022	Endemic goiter
C0018203	Chronic granulomatous disease
C0018425	Gyrate Atrophy
C0018523	Hallervorden-Spatz Syndrome
C0018552	Hamartoma
C0018553	Hamartoma Syndrome, Multiple
C0018671	Head and Neck Neoplasms
C0018784	Sensorineural Hearing Loss (disorder)
C0018790	Cardiac Arrest
C0018798	Congenital Heart Defects
C0018801	Heart failure
C0018802	Congestive heart failure
C0018817	Atrial Septal Defects
C0018818	Ventricular Septal Defects
C0018916	Hemangioma
C0018920	Hemangioma, Cavernous
C0018922	hemangiopericytoma
C0018923	Hemangiosarcoma
C0018965	Hematuria
C0018989	Hemiparesis
C0018991	Hemiplegia
C0019069	Hemophilia A
C0019569	Hirschsprung Disease
C0019572	Hirsutism
C0019621	Histiocytosis, Langerhans-Cell
C0019625	Sinus histiocytosis
C0019829	Hodgkin Disease
C0019880	Homocystinuria
C0020072	Hereditary Sensory Autonomic Neuropathy, Type 2
C0020074	HSAN Type IV
C0020179	Huntington Disease
C0020217	Hydatidiform Mole
C0020255	Hydrocephalus
C0020256	Congenital Hydrocephalus
C0020305	Hydrops Fetalis
C0020445	Hypercholesterolemia, Familial
C0020459	Hyperinsulinism
C0020476	Hyperlipoproteinemias
C0020479	Hyperlipoproteinemia Type III
C0020497	Cortical Congenital Hyperostosis
C0020501	Primary Hyperoxaluria
C0020507	Hyperplasia
C0020534	Orbital separation excessive
C0020538	Hypertensive disease
C0020555	Hypertrichosis
C0020580	Hypesthesia
C0020649	Hypotension
C0020757	Ichthyoses
C0020758	Congenital ichthyosis
C0020981	Angioimmunoblastic Lymphadenopathy
C0021051	Immunologic Deficiency Syndromes
C0021171	Bloch Sulzberger syndrome
C0021361	Female infertility
C0021364	Male infertility
C0021368	Inflammation
C0021390	Inflammatory Bowel Diseases
C0021655	Insulin Resistance
C0021670	insulinoma
C0022336	Creutzfeldt-Jakob disease
C0022548	Keloid
C0022572	keratoacanthoma
C0022578	Keratoconus
C0022593	Keratosis
C0022595	Keratosis Follicularis
C0022596	Palmoplantar Keratosis
C0022602	Actinic keratosis
C0022603	Seborrheic keratosis
C0022665	Kidney Neoplasm
C0022680	Polycystic Kidney Diseases
C0022797	Adult Neuronal Ceroid Lipofuscinosis
C0023264	Leigh Disease
C0023267	Fibroid Tumor
C0023269	leiomyosarcoma
C0023321	Lentigo
C0023434	Chronic Lymphocytic Leukemia
C0023437	Acute Basophilic Leukemia
C0023443	Hairy Cell Leukemia
C0023449	Acute lymphocytic leukemia
C0023461	Leukemia, Mast-Cell
C0023462	Acute Megakaryocytic Leukemias
C0023467	Leukemia, Myelocytic, Acute
C0023473	Myeloid Leukemia, Chronic
C0023480	Leukemia, Myelomonocytic, Chronic
C0023481	Chronic Neutrophilic Leukemia
